"","GBCODE","W1","W2","mean","se","df","ci.low","ci.up"
"1",110100,0.8736,0.1264,29.7876775384615,0.796511082450047,240,28.2186322408308,31.3567228360923
"2",110112,0.6115,0.3885,26.1126323076923,0.689477559071847,240,24.7544320946382,27.4708325207464
"3",110113,0.5378,0.4622,25.0792449230769,0.660452529230272,240,23.7782210476658,26.3802687984881
"4",110221,0.524559741,0.475440259,24.8935961222677,0.655298612173328,240,23.6027249358784,26.184467308657
"5",110224,0.524559741,0.475440259,24.8935961222677,0.655298612173328,240,23.6027249358784,26.184467308657
"6",110226,0.524559741,0.475440259,24.8935961222677,0.655298612173328,240,23.6027249358784,26.184467308657
"7",110227,0.524559741,0.475440259,24.8935961222677,0.655298612173328,240,23.6027249358784,26.184467308657
"8",110228,0.5505,0.4495,25.2573184615385,0.665414066684332,240,23.9465208652302,26.5681160578467
"9",110229,0.4864,0.5136,24.3585378461538,0.640555364745393,240,23.0967093480062,25.6203663443015
"10",120100,0.8622,0.1378,29.627832,0.791752522195778,240,28.0681605789605,31.1875034210395
"11",120221,0.3662,0.6338,22.6731489230769,0.595310043495057,240,21.5004490762586,23.8458487698952
"12",120222,0.38726886,0.61273114,22.9685667539077,0.603098347440305,240,21.7805247455664,24.156608762249
"13",120223,0.4529,0.5471,23.8888163076923,0.627755190400069,240,22.6522028427161,25.1254297726685
"14",120224,0.38726886,0.61273114,22.9685667539077,0.603098347440305,240,21.7805247455664,24.156608762249
"15",120225,0.3443,0.6557,22.3660772307692,0.587284425736198,240,21.2091870293941,23.5229674321443
"16",130101,0.506221991,0.493778009,24.6364726553446,0.648192780170731,240,23.3595992306125,25.9133460800767
"17",130121,0.2963,0.7037,21.6930433846154,0.569957891188386,240,20.5702846826701,22.8158020865607
"18",130123,0.4462,0.5538,23.794872,0.625211940968298,240,22.5632684760648,25.0264755239352
"19",130124,0.4196,0.5804,23.4218990769231,0.615172340158631,240,22.21007253888,24.6337256149662
"20",130125,0.2041,0.7959,20.4002575384615,0.537802837469488,240,19.3408410007929,21.4596740761302
"21",130126,0.2678,0.7322,21.2934295384615,0.559852591520783,240,20.1905772424332,22.3962818344899
"22",130127,0.2521,0.7479,21.0732913846154,0.554347280728863,240,19.9812839872964,22.1652987819344
"23",130128,0.2885,0.7115,21.5836753846154,0.567178252797126,240,20.4663922857634,22.7009584834674
"24",130129,0.2052,0.7948,20.4156812307692,0.538176942496144,240,19.3555277444933,21.4758347170452
"25",130130,0.2443,0.7557,20.9639233846154,0.551628932752836,240,19.8772708545457,22.0505759146851
"26",130131,0.3035,0.6965,21.7939984615385,0.572532853280639,240,20.6661673478572,22.9218295752197
"27",130132,0.2405,0.7595,20.9106415384615,0.550308713184566,240,19.8265897057972,21.9946933711259
"28",130133,0.3073,0.6927,21.8472803076923,0.573895357925482,240,20.7167651993334,22.9777954160512
"29",130181,0.3842,0.6158,22.9255366153846,0.601959909831125,240,21.7397372125973,24.1113360181719
"30",130182,0.3692,0.6308,22.7152135384615,0.596415055894292,240,21.5403369303312,23.8900901465918
"31",130183,0.2981,0.7019,21.7182821538462,0.570600813870882,240,20.5942569600291,22.8423073476632
"32",130184,0.3988,0.6012,23.1302510769231,0.607387950586834,240,21.933758989488,24.3267431643582
"33",130185,0.4056,0.5944,23.2255975384615,0.609926302602808,240,22.0241051573932,24.4270899195299
"34",130201,0.508225963,0.491774037,24.6645714258185,0.648967453932078,240,23.3861719730759,25.942970878561
"35",130221,0.508225963,0.491774037,24.6645714258185,0.648967453932078,240,23.3861719730759,25.942970878561
"36",130223,0.3756,0.6244,22.8049513846154,0.598776849003405,240,21.6254222858249,23.9844804834059
"37",130224,0.339,0.661,22.2917630769231,0.585353189388741,240,21.1386772134616,23.4448489403846
"38",130225,0.2939,0.7061,21.6593916923077,0.569101514187939,240,20.5383199653903,22.7804634192251
"39",130227,0.4104,0.5896,23.2929009230769,0.611721929787617,240,22.0878713402637,24.4979305058901
"40",130229,0.4146,0.5854,23.3517913846154,0.613295691599896,240,22.14366165213,24.5599211171007
"41",130230,0.5901,0.4099,25.8125713846154,0.680993113696571,240,24.471084660441,27.1540581087898
"42",130281,0.4067,0.5933,23.2410212307692,0.61033752049161,240,22.0387187925542,24.4433236689842
"43",130282,0.406722559,0.593277441,23.2413375426554,0.610345955568993,240,22.0390184882014,24.4436565971094
"44",130283,0.4241,0.5759,23.484996,0.616864201644592,240,22.2698366680168,24.7001553319832
"45",130301,0.475125393,0.524874607,24.2004505104646,0.636232050947822,240,22.9471384979425,25.4537625229867
"46",130321,0.2308,0.7692,20.7746326153846,0.546951035244721,240,19.6971950645533,21.8520701662159
"47",130322,0.2696,0.7304,21.3186683076923,0.560486610759386,240,20.2145670586652,22.4227695567194
"48",130323,0.2334,0.7666,20.8110886153846,0.547849277532374,240,19.7318816191951,21.8902956115741
"49",130324,0.17,0.83,19.9221230769231,0.526329039612851,240,18.8853087465175,20.9589374073286
"50",130401,0.434422203,0.565577797,23.6297291663723,0.620755207823292,240,22.4069049505197,24.852553382225
"51",130421,0.5495,0.4505,25.2432969230769,0.6650227672598,240,23.9332701465797,26.5533236995742
"52",130423,0.3232,0.6768,22.0702227692308,0.57962213168478,240,20.9284265027868,23.2120190356747
"53",130424,0.366,0.634,22.6703446153846,0.595236423445146,240,21.4977897925285,23.8428994382407
"54",130425,0.2861,0.7139,21.5500236923077,0.56632507434297,240,20.4344212676748,22.6656261169405
"55",130426,0.4282,0.5718,23.5424843076923,0.61840802940105,240,22.3242837930627,24.7606848223219
"56",130427,0.3751,0.6249,22.7979406153846,0.598592117717075,240,21.6187754183182,23.977105812451
"57",130428,0.2339,0.7661,20.8180993846154,0.548022164310957,240,19.7385518191696,21.8976469500612
"58",130429,0.3091,0.6909,21.8725190769231,0.57454159139597,240,20.740730954779,23.0043071990672
"59",130430,0.3613,0.6387,22.6044433846154,0.593508067855649,240,21.4352932453476,23.7735935238832
"60",130431,0.2792,0.7208,21.4532750769231,0.563877736896679,240,20.3424936565379,22.5640564973082
"61",130432,0.2787,0.7213,21.4462643076923,0.563700715621894,240,20.3358316010977,22.5566970142869
"62",130433,0.3709,0.6291,22.7390501538462,0.597041820097232,240,21.5629388843947,23.9151614232976
"63",130434,0.375,0.625,22.7965384615385,0.598555175841358,240,21.6174460361857,23.9756308868913
"64",130481,0.3579,0.6421,22.5567701538462,0.592259830185443,240,21.3900789150129,23.7234613926794
"65",130485,0.357937729,0.642062271,22.5572991724708,0.592273672039119,240,21.3905806666027,23.7240176783388
"66",130501,0.400161006,0.599838994,23.1493344748985,0.607895481544663,240,21.9518426034298,24.3468263463671
"67",130521,0.3878,0.6122,22.9760141538462,0.603295518210912,240,21.7875837392701,24.1644445684222
"68",130522,0.3107,0.6893,21.8949535384615,0.575116470581378,240,20.7620329631696,23.0278741137534
"69",130523,0.3166,0.6834,21.9776806153846,0.57723997218622,240,20.8405769593032,23.114784271466
"70",130524,0.2811,0.7189,21.479916,0.564550815852652,240,20.3678086829712,22.5920233170288
"71",130525,0.3409,0.6591,22.318404,0.586045017043277,240,21.163955306878,23.472852693122
"72",130526,0.3224,0.6776,22.0590055384615,0.57933301004878,240,20.9177788120446,23.2002322648785
"73",130527,0.3241,0.6759,22.0828421538462,0.579947516610577,240,20.9404049124064,23.2252793952859
"74",130528,0.3377,0.6623,22.2735350769231,0.584880158453749,240,21.1213810359818,23.4256891178644
"75",130529,0.3399,0.6601,22.3043824615385,0.585680827045769,240,21.1506511854312,23.4581137376457
"76",130530,0.3073,0.6927,21.8472803076923,0.573895357925482,240,20.7167651993334,22.9777954160512
"77",130531,0.2079,0.7921,20.4535393846154,0.539096230461373,240,19.3915749951508,21.51550377408
"78",130532,0.3123,0.6877,21.917388,0.575691771443392,240,20.7833341409006,23.0514418590995
"79",130533,0.2201,0.7799,20.6246021538462,0.543268118761114,240,19.5544195714861,21.6947847362062
"80",130534,0.4369,0.5631,23.6644716923077,0.621691313058868,240,22.4398034449653,24.8891399396501
"81",130535,0.3467,0.6533,22.3997289230769,0.588160379772241,240,21.2411131819178,23.5583446642361
"82",130581,0.4014,0.5986,23.1667070769231,0.608357737848398,240,21.9683046078549,24.3651095459912
"83",130582,0.4393,0.5607,23.6981233846154,0.622598790114351,240,22.4716675003675,24.9245792688633
"84",130601,0.387724753,0.612275247,22.9749590751415,0.60326758243226,240,21.7865836911898,24.1633344590933
"85",130621,0.343,0.657,22.3478492307692,0.58681032240818,240,21.1918929644188,23.5038054971197
"86",130622,0.3477,0.6523,22.4137504615385,0.588525622647664,240,21.2544152293028,23.5730856937741
"87",130623,0.2949,0.7051,21.6734132307692,0.569458219194472,240,20.5516388315031,22.7951876300354
"88",130624,0.1964,0.8036,20.2922916923077,0.535190955522166,240,19.2380202947101,21.3465630899052
"89",130625,0.3442,0.6558,22.3646750769231,0.587247946959974,240,21.207856735003,23.5214934188432
"90",130626,0.2338,0.7662,20.8166972307692,0.547987583146278,240,19.737217786678,21.8961766748605
"91",130627,0.2328,0.7672,20.8026756923077,0.547641876285631,240,19.7238772553437,21.8814741292717
"92",130628,0.2911,0.7089,21.6201313846154,0.568103645567445,240,20.5010253567336,22.7392374124971
"93",130629,0.3836,0.6164,22.9171236923077,0.60173748909899,240,21.7317624355946,24.1024849490208
"94",130630,0.2977,0.7023,21.7126735384615,0.570457894874025,240,20.5889298804384,22.8364171964847
"95",130631,0.2979,0.7021,21.7154778461538,0.570529350998006,240,20.591593426881,22.8393622654267
"96",130632,0.3828,0.6172,22.9059064615385,0.60144100866566,240,21.7211292409298,24.0906836821471
"97",130633,0.2348,0.7652,20.8307187692308,0.548333480419045,240,19.7505579429199,21.9108795955416
"98",130634,0.2111,0.7889,20.4984083076923,0.540187644250347,240,19.4342939447859,21.5625226705987
