GBCODE,Incidence,SSHID,X,Y
110100,42,1,115.9642423,39.86493552
120100,44.16,1,117.3913243,39.01183582
120200,25.69,2,117.4309484,40.00251288
130129,9.37,2,114.2797117,37.61767492
130181,35.68,1,115.287006,37.91756031
130227,20.06,2,118.3576427,40.23177464
130283,29.27,1,118.6754233,40.03174927
130300,37.21,1,119.634538,39.95817428
130426,14.72,2,113.7325639,36.59167825
130427,22.59,2,114.2338479,36.39085493
130521,15.87,2,114.1574247,37.14529596
130523,15.99,2,114.3464041,37.31137716
130600,51.19,1,115.4632222,38.87601728
130631,21.13,2,115.1640258,38.66727614
130683,39.61,1,115.3191714,38.38867619
130721,13.7,2,115.0484439,40.54756681
130802,25.33,1,117.8420405,40.88570977
130826,23.28,2,116.6097828,41.41568616
130900,45.54,1,116.8516726,38.31302407
130925,17.4,2,117.2575048,37.95404548
140107,29.26,1,112.4963971,37.83680569
140300,21.65,1,113.5264182,37.923573
140321,13.92,2,113.7586812,37.84297784
140322,22.61,2,113.3488591,38.22304638
140522,11.25,2,112.3457746,35.42165596
141024,23.76,2,111.6459597,36.32059093
150400,26.2,1,118.7070119,42.36032376
150430,11.55,2,120.1428226,42.42286614
150702,27.82,1,119.9850397,49.25255486
150724,12.31,2,120.0530892,48.48404443
150782,33.32,1,117.5734014,49.50482301
150802,29.83,1,107.4289362,40.92186371
152502,34.58,1,116.1545362,44.0427168
210100,39.25,1,123.4370783,41.80309258
210123,23.15,2,123.2621136,42.75705966
210124,23.11,2,123.2353592,42.40618958
210200,52.33,1,121.6680205,39.0721679
210283,25.69,1,122.9208345,39.85139161
210300,41.57,1,123.0178083,41.07360707
210500,29.08,1,123.7894812,41.23805251
210600,33.27,1,124.3343215,40.19166402
210681,22.17,1,123.8655326,39.97766359
210800,53.17,1,122.305888,40.61698536
210900,34.88,1,121.7067197,42.01571562
211121,23.35,2,122.1032001,40.95632542
211322,19.37,2,119.617838,41.83302951
220183,23.81,1,125.7528443,44.49877378
220200,44.28,1,126.5422141,43.86596541
220521,18.58,2,125.7358019,41.77295749
230102,33.41,1,126.5660537,45.71410523
231000,29.46,1,129.6381849,44.56721879
310100,45.86,1,121.6222807,31.19253046
320200,24.35,1,120.1911586,31.4859228
320300,22.3,1,117.2056034,34.27162288
320400,36.35,1,119.9621146,31.77618679
320482,27.99,1,119.5036783,31.72224401
320500,25.29,1,120.4066565,31.22811188
320600,32.89,1,121.0070254,32.07819698
320621,24.32,2,120.4621792,32.54681491
320623,21.47,2,121.0397479,32.37846299
320681,21.62,1,121.6736261,31.87585139
320684,25.01,1,121.3092411,31.96842555
320700,33.17,1,119.3286304,34.61894409
320721,19.64,2,119.0278176,34.88844481
320722,19.33,2,118.7814702,34.55504647
320723,23.53,2,119.3812281,34.4004845
320724,19.44,2,119.4369444,34.17154366
320800,25.38,1,119.2329627,33.50322919
320826,15.37,2,119.311984,33.88078816
320829,14.19,2,118.8194091,33.227669
320830,16.95,2,118.5244938,32.96801239
320831,19.49,2,119.1341516,33.02193375
320902,31.11,1,120.0542737,33.30776043
320922,16.96,2,120.0184691,34.08956667
320923,13.56,2,119.6930443,33.7090765
320924,21.94,2,120.2597676,33.7416094
320925,17.9,2,119.8219813,33.48335014
320982,34.7,1,120.5176289,33.1739984
321023,9.67,2,119.4423726,33.22118986
330100,34.02,1,120.1197115,30.23472347
330204,36.8,1,121.7210326,29.91163467
330282,29.52,1,121.3231815,30.17980948
330302,39.65,1,120.6708351,28.00071395
330400,36.09,1,120.7468402,30.74450945
330481,27.48,1,120.5900574,30.44959452
330522,25.88,2,119.8103357,30.97859148
330682,26.22,1,120.8912702,29.94457849
330784,25.98,1,120.0936711,28.93417145
330824,24.52,2,118.3196375,29.18532234
330921,25.27,2,122.2504865,30.3197092
331024,20.81,2,120.622346,28.72873228
340100,27.72,1,117.2661767,31.83441255
340121,23.15,2,117.1589904,32.28038055
340122,20.93,2,117.5609055,31.99949575
340200,21.58,1,118.499724,31.21334879
340300,26.38,1,117.3671327,32.92346247
340500,25.62,1,118.5437558,31.69948844
340700,32.69,1,117.7806186,30.90110716
340721,18.06,2,117.9036386,30.94846281
341125,13.08,2,117.6498266,32.46975288
341181,23.47,1,118.9612,32.71702385
341302,25.4,1,117.1453785,33.72135912
341323,24.02,2,117.5306471,33.68754378
341400,26.61,1,117.7150269,31.64639951
341421,20.11,2,117.3211939,31.26986817
341521,19.84,2,116.7541042,32.25836037
341522,15.74,2,116.1583855,32.1970679
341823,13.5,2,118.3615838,30.59488728
350200,33.46,1,118.0254669,24.57297586
350625,11.83,2,117.8001486,24.73626906
350783,22.46,1,118.4736554,27.04193664
350802,26.45,1,117.073252,25.21394022
350822,15.01,2,116.8129148,24.75504427
360122,24.9,2,115.931822,28.80622968
360423,15.9,2,115.0096549,29.26252441
360702,26.95,1,114.9169605,25.84037695
360721,12.17,2,115.0571693,25.89489066
360727,19.62,2,114.7170376,24.76413011
360829,17.53,2,114.4395433,27.35924464
360922,17.36,2,114.3221268,28.20812009
360923,10.93,2,114.8471011,28.19736133
360925,17.74,2,115.2226313,28.94411749
361026,8.91,2,116.2394257,27.39289688
361102,26.6,1,117.9544477,28.43296236
361125,15.11,2,117.6275383,28.51150104
361127,12.67,2,116.6094836,28.679573
370100,31.64,1,117.1134967,36.60810741
370181,26.11,1,117.4681172,36.733428
370305,23.83,1,118.0559403,36.64421653
370481,29.12,1,117.132423,35.06347789
370600,27.9,1,121.2496008,37.46742176
370685,33.1,1,120.386847,37.33732299
370785,29.12,1,119.6944478,36.3811613
370883,32.21,1,117.0772378,35.35240394
370921,19.96,2,116.9222727,35.83105902
370983,27.65,1,116.7313703,36.10570151
371083,38.75,1,121.5165723,36.96978601
371321,26.01,2,118.4042682,35.53597006
